index,title,twi,english
0,Abandenden Ne Wo Yehowa ,"﻿Abandenden ne wo Yehowa, Wo mu na ahotsewfo nyinaa dwane betoa, Wo mu na ahotsewfo nyinaa benya fahodzi, Abandenden ne wo Yehowa, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(The Lord is our fortress), (In You, the righteous seek refuge), (In You, the righteous will find refuge), (The Lord is our fortress)"
1,Abode Nyinaa Yi W'aye ,"﻿Abode nyinaa yi W’aye Ewurade, Me nso me yi W’aye daa nyinaa, Abode nyinaa yi W’aye Ewurade, Me nso me yi W’aye daa nyinaa, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(All creation praise Your name), (I’ll praise you all my life ), (All creation praise Your name), (I’ll praise you all my life )"
2,"Abode Nyinara, Mo Nkoto Ewurade ","﻿Abɔde nyinara, mo nkoto Ewurade, W’edi nkunim, εnuonyam sε No, Ɔhene Yesu ne yεn Ewurade, W’edi nkunim, εnuonyam sε No, Ɔhene Yesu ne yεn Ewurade, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Let all creation praise the Lord), (He has triumphed, He is worthy of all glory), (Our King Jesus is our God), (He has triumphed, He is worthy of all glory), (Our King Jesus is our God)"
3,Abra Metse Ase Yi (Wo Se Ayeyi) ,"﻿Abra metse ase yi, meyi Wo din ayε, Wo sε ayeyi; Wo sε ndaase, Ɔkrɔnkrɔn Nyame, meyi Wo din ayε, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(While I live, I will praise Your name), (You deserve the praise; You deserve thanksgiving), (Holy God, I will praise Your name)"
4,Aden Nti Na Merenda W'ase Yehowa ,"﻿Adεn nti na merennda W’ase Yehowa, Sε mehwε Wo ndwuma esi fa, W’ayemuyie dɔɔ so Awurade, Adεn nti na merennda W’ase Yehowa, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Why won’t I praise You Jehovah), (When I see Your works), (Your goodness is great Lord), (Why won’t I praise You Jehovah)"
5,Adom Bi Wo Jesus ,"﻿Adom bi wo Jesus, emu na mensa ka, Adom mu na metse ase, Emu na mekeka meho, Emu na meye m’ade nyinaa, Adom, Adom, Adom bi a menya, Adom mu na metse ase, Emu na mekeka meho, Emu na meye m’ade nyinaa, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I find a certain grace in Jesus), (I live in that grace), (I am quickened in it), (In it, I do all things), (Grace, Grace), (Some grace I have found), (I live in that grace), (I am quickened in it), (In it, I do all things)"
6,Afe Ako Aprow ,"﻿Afe ako aprow aboto hen so bio , Adom Nyame ennjum hen, W’amam afe pa ato hen, Chorus, (Merry Christmas, May another year come to meet us alive), (May another year come to meet us alive)","(The year has gone a full cycle, It has come to meet us again), (God our Father did not permit us to die), (He has blessed us with a good year), Afenhia pa; Afe nko mboto hen so bio, Afenhyia pa nko mboto hen bio, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"
7,Agya Mebo Wo Mmerane (Ayei Ayei) ,"﻿Ayei Ayei Ayei, (Father, I will sing Your appellations, You are worthy of appellations) , (Father, I will praise Your Name, You are worthy of thanks)","Agya mεbɔ Wo mmerane, mmerane sε Wo, Agya mεbɔ Wo din, aseda sε Wo, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"
8,Agya Onyame W'aye Mu Yie Doo So ,"﻿Ɔɔε, (God, your goodness is abundant), (It is available for us in every way), (So cast all your cares into His hands), (His goodness is abundant), (Your goodness covers all our sins), (Your goodness gives us blessings)","Agya Onyame W’ayε mu yie dɔɔ so, Ewɔ hɔ ma yεn wɔ akwan nyinaa mu, Nti fa w’asεm nyinaa hyε Ne nsa, W’ayε mu yie dɔɔ so, W’ayε mu yie kata yε bɔne so, W’ayε mu yie na εma yεn nhyira, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"
9,Aman Nyinaa Beyi ,"﻿Ɔɔε, Aman nyinaa beyi W’ayε, (All nations shall give You thanks), ","Onyankopɔn, Aman nyinaa beda W’ase, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"
10,"Amen, Amen Nhyira Ne Enuonyam ","﻿Amen, Amen, (Blessing and Glory, Wisdom and Thanks), (And Honor and power), (And strength belong to God forever), Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","Nhyira ne anyonyam, Ne nyansa, ne aseda, Ne Nidee, Ne tumi, Ne ahooden, eye Onyankopon ne dee daa, Amen, "
11,Ampara Nyame Na Oye ,"﻿Ampara Nyame na oye, Eno nti, moma yenfa ndaase ma No, Ampara Nyame na oye, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Indeed, the Lord is good), (For this, let us give thanks to Him), (Indeed, the Lord is good)"
12,Ampara Wo Ye Daa Daa Nyame (Eugene Zuta) ,"﻿Ampara, Wo yε daa daa Nyame, Ampara, Wo yε soro Egya, Ampara, obiara ntse sε Wo, Eno ntsi, yεbεsom Wo daa, Wo yε daa Nyame, Egya pa ne Wo, Wotse saa daa, Wonnsesa da, Wɔ ahoɔden mu, wɔ nimdeε mu , Ɔsoro nyinaa, Wo mba, yεbεbɔ Wo din na y’asɔre Wo, We worship You Lord","(Truly, You are the Everlasting God), (Truly, You are our Heavenly Father), (Truly, there is none like You), (For this, we will forever praise You), (You are the Eternal God, Our Father), (You are the same, You never change), (In strength, In wisdom), (All heavens) , (Your children, we will praise Your name and exalt You), Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"
13,Aseda Nka Ewurade  High Life ,"﻿Aseda nka Ewurade, sε wama adom ayε de, Wa yimi afri obonsam hyihye mu, Se bibriwɔ aseda kyia, wo na mede be ma wo,, Mia misε bi, wa ma sε bi wayeyi rinsada, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Thanks be to God, that I You have given me grace), (You have delivered me from the works of the devil), (If there is anything beyond thanks, it’s You I will give to), (You’ve made me “somebody,” Your praises will never end)"
14,Aseda Nka Onyame (Wɔnfa Mma No) ,"﻿Aseda nka Onyame, Nyame a one yen wo ho, Ne neama eyaa oye, eye wanwa, Ne neama eye nhyira, Nyinaa firi Ewurade ho, Aseda fore a ese, wonfa ma No, Wonfa ma No, Wonfa ma No, Wonfa ma Ewurade No, Ne neama eye nhyira, Nyinaa firi Ewurade ho, Aseda fore a ese, wonfa ma No, Wonfa ma No, Wonfa ma No, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Thanks be to God), (The God who is with us), (His handiworks are wonderful), (His works are blessings), (All come from the Lord), (Worthy sacrifices of thanksgiving must be offered to Him), (Offer them to Him, Offer them to Him), (Offer them to the Lord), (His works are blessings), (All come from the Lord), (Worthy sacrifices of thanksgiving must be offered to Him), (Offer them to Him, Offer them to Him)"
15,Aseda Nyina Ye Wo De ,"﻿Aseda nyinaa yε Wodze, Jesus, , Ayeyi nyinaa yε Wodze, Jesus, Onyame nea w’ayε dɔɔso, Aseda nyinaa yε wode, Jesus, Yεbεbɔ wo din, daa daa, , Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","me botantim Nyame,  M’akokyεm ne m’abankεse, ne Wo, W’adom nti na yε tease, Yεbεka nea w’ayε akyerε aman, Jesus, M’akokyεm ne m’abankεse, ne Wo "
16,Awanwasem No ,"﻿Ɔɔε, (Saviour Jesus came all the way from heaven), Ɔdebɔyεni ɔtsε me na W’aye me sei yi , ","Agyenkwa Yesu firi soro tɔɔ, Bε wui ma me, Bε wui ma wo, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"
17,Awanwasem Yi De Etse Sen(Agyenkwa Yesu) ,"﻿Agyenkwa Yesu firi soro tɔɔ, Bε wui ma me, Bε wui ma wo, Ɔdebɔyεni ɔtsε me na W’ayε me sε yi, Awanwasεm yi de εtse sεn, Sε Yesu bε wui ma me εne wo, Ogyaa N’ahenkyεw ne N’ahengwa , Na W’ayε me sε yi, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Savior Jesus came all the way from heaven), (To die for you, to die for me), (You have done this for a sinner like me), (How could this wonderful news be), (That Jesus came to die for me and You), (He left His kingship and His throne), (And has made me this way)"
